Date,Close/Last,Volume,Open,High,Low,Close_difference,Impact
2011-06-13,11.6643,329376468,11.6857,11.7254,11.6096,0.025000000000000355,1
2011-06-14,11.8729,333995906,11.7857,11.9018,11.7611,0.2085999999999988,1
2011-06-15,11.6696,395841722,11.7768,11.7964,11.6029,-0.2032999999999987,0
2011-06-16,11.6129,507299317,11.675,11.7386,11.3689,-0.05670000000000108,0
2011-06-17,11.4379,614859874,11.7496,11.7589,11.4057,-0.17499999999999893,0
2011-06-20,11.2614,639595904,11.3341,11.3464,11.0893,-0.17650000000000077,0
2011-06-21,11.6179,492451483,11.31,11.6357,11.2571,0.3565000000000005,1
2011-06-22,11.5218,389874084,11.6129,11.7464,11.5136,-0.09609999999999985,0
2011-06-23,11.8296,558289257,11.3907,11.8461,11.3614,0.3077999999999985,1
2011-06-24,11.6554,439549984,11.8346,11.8982,11.6104,-0.17419999999999902,0
2011-06-27,11.8586,339249264,11.6996,11.925,11.6875,0.20319999999999894,1
2011-06-28,11.9736,293471803,11.9161,12.025,11.9086,0.11500000000000021,1
2011-06-29,11.93,352493819,12.0014,12.0132,11.8529,-0.04359999999999964,0
2011-06-30,11.9882,322746911,11.9536,12.0046,11.8871,0.05820000000000114,1
2011-07-01,12.2593,439705664,11.9982,12.2679,11.9357,0.2710999999999988,1
2011-07-05,12.4796,354701618,12.25,12.4939,12.2321,0.22029999999999994,1
2011-07-06,12.5629,443977622,12.4625,12.6464,12.3825,0.08330000000000126,1
2011-07-07,12.7571,398385801,12.6668,12.7857,12.6429,0.1941999999999986,1
2011-07-08,12.8468,489331164,12.6193,12.8571,12.5786,0.08970000000000056,1
2011-07-11,12.6429,441465743,12.7264,12.8489,12.6007,-0.20390000000000086,0
2011-07-12,12.6339,450866740,12.6261,12.7743,12.4507,-0.008999999999998565,0
2011-07-13,12.7864,390229404,12.7975,12.8571,12.7279,0.15249999999999986,1
2011-07-14,12.7775,428520789,12.8932,12.9146,12.7264,-0.008900000000000574,0
2011-07-15,13.0329,482950247,12.8989,13.0357,12.8275,0.25539999999999985,1
2011-07-18,13.35,570749532,13.0511,13.3804,13.0457,0.31709999999999994,1
2011-07-19,13.4589,795348082,13.5,13.5232,13.3329,0.10890000000000022,1
2011-07-20,13.8179,939196344,14.1471,14.1525,13.7857,0.359,1
2011-07-21,13.8318,525875910,13.8196,13.9307,13.7107,0.01389999999999958,1
2011-07-22,14.0464,514436234,13.8686,14.1089,13.8482,0.2146000000000008,1
2011-07-25,14.2321,588517205,13.9411,14.2857,13.915,0.18570000000000064,1
2011-07-26,14.4075,475874370,14.2857,14.4464,14.2743,0.17539999999999978,1
2011-07-27,14.0211,657459617,14.3068,14.38,14.0054,-0.3864000000000001,0
2011-07-28,13.9936,592966683,13.9864,14.1782,13.8618,-0.027499999999999858,0
2011-07-29,13.9457,631424947,13.8443,14.1125,13.7143,-0.047900000000000276,0
2011-08-01,14.1696,610118356,14.2064,14.2679,14.0132,0.22390000000000043,1
2011-08-02,13.8896,638279625,14.2018,14.2107,13.8696,-0.28000000000000114,0
2011-08-03,14.0204,738622905,13.9636,14.0554,13.6514,0.1308000000000007,1
2011-08-04,13.4775,869350092,13.9075,13.9757,13.4768,-0.5429000000000013,0
2011-08-05,13.3436,1203489079,13.5871,13.6964,12.9489,-0.1338999999999988,0
2011-08-08,12.6146,1139966904,12.9175,13.1346,12.6079,-0.729000000000001,0
2011-08-09,13.3575,1080145208,12.9036,13.3789,12.6786,0.7429000000000006,1
2011-08-10,12.9889,877334289,13.2554,13.3804,12.9464,-0.3686000000000007,0
2011-08-11,13.3464,741132824,13.2329,13.4089,13.0257,0.35749999999999993,1
2011-08-12,13.4639,528494189,13.5025,13.5586,13.3654,0.11750000000000149,1
2011-08-15,13.6932,459723696,13.5582,13.7489,13.5032,0.2292999999999985,1
2011-08-16,13.5886,498468681,13.6257,13.6918,13.4307,-0.10459999999999958,0
2011-08-17,13.5871,440397264,13.6539,13.7329,13.5,-0.0015000000000000568,0
2011-08-18,13.0732,850086100,13.2443,13.3089,12.9061,-0.5138999999999996,0
2011-08-19,12.7154,774677370,12.9346,13.1071,12.7143,-0.35779999999999923,0
2011-08-22,12.73,534531826,13.0182,13.0314,12.6818,0.014599999999999724,1
2011-08-23,13.3429,655818818,12.8679,13.3443,12.75,0.6128999999999998,1
2011-08-24,13.435,585292166,13.3382,13.5343,13.2357,0.09210000000000029,1
2011-08-25,13.3471,870500612,13.0386,13.4089,13.0357,-0.0879000000000012,0
2011-08-26,13.6993,640631624,13.2561,13.7071,13.2429,0.35219999999999985,1
2011-08-29,13.9275,404537678,13.8636,13.9821,13.8571,0.22820000000000107,1
2011-08-30,13.9282,417235393,13.8661,13.9943,13.7932,0.000700000000000145,1
2011-08-31,13.7439,522025351,13.9489,14.0029,13.6379,-0.18430000000000035,0
2011-09-01,13.6082,343083303,13.7793,13.8336,13.5971,-0.13569999999999993,0
2011-09-02,13.3589,438765704,13.3836,13.5,13.2796,-0.24929999999999986,0
2011-09-06,13.5621,508529357,13.1204,13.5832,13.0886,0.20319999999999894,1
2011-09-07,13.7118,349494740,13.77,13.7714,13.6429,0.14970000000000105,1
2011-09-08,13.7193,415351554,13.6571,13.8789,13.6539,0.007500000000000284,1
2011-09-09,13.4814,564664294,13.7118,13.7857,13.3936,-0.23789999999999978,0
2011-09-12,13.5693,467062213,13.3214,13.6029,13.2821,0.08789999999999942,1
2011-09-13,13.7364,440210224,13.6479,13.7932,13.5804,0.16709999999999958,1
2011-09-14,13.9036,534161106,13.8221,14.0075,13.7771,0.16720000000000113,1
2011-09-15,14.0343,414443514,13.9796,14.0593,13.925,0.13069999999999915,1
2011-09-16,14.3036,695436282,14.1264,14.3037,14.1082,0.26929999999999943,1
2011-09-19,14.7011,821271591,14.1786,14.7582,14.1145,0.39750000000000085,1
2011-09-20,14.7661,773974010,14.8304,15.1021,14.6854,0.0649999999999995,1
2011-09-21,14.7193,603985798,14.9871,15.0568,14.7143,-0.04679999999999929,0
2011-09-22,14.3507,967152933,14.3225,14.6364,14.1679,-0.3686000000000007,0
2011-09-23,14.4393,545951062,14.2957,14.5264,14.2804,0.08859999999999957,1
2011-09-26,14.3989,812128195,14.2807,14.4279,13.975,-0.04039999999999999,0
2011-09-27,14.2593,630865508,14.5975,14.6161,14.2164,-0.13959999999999972,0
